,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2,ntr,ale_mse,mean_mse
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,2.32077119165223e-07,-2.640281910266174e-07,-8.053738409922586e-05,0.0,0.0,0.0,1.0,0.3833875985512652,2.9554804829187384
2,0.01,1.7522031641454622e-06,-2.0745170856263066e-06,-0.00019226104432049226,6.8035763674161355e-09,0.0,0.0,2.0,1.2922804350696164,0.5345063074747746
3,0.015,2.7363436835596056e-06,-3.681427492755223e-06,-0.0002567369851136003,1.0711671169230589e-07,0.0,0.0,3.0,2.2750135372850684,4.5827379135756106
4,0.02,1.595426282388169e-06,-2.3998004989951813e-06,-0.0003617425890361672,5.335654401036076e-07,0.0,0.0,4.0,8.780226473269977,0.3666061067282492
5,0.025,2.0269778902908916e-08,7.99041150496132e-07,-0.0004984799068402151,1.6591024239881452e-06,0.0,0.0,5.0,10.687251619050361,0.012603192414044428
6,0.03,-2.331776515305883e-06,4.077106168199867e-06,-0.0006191470782074074,3.984819387461134e-06,0.0,0.0,6.0,4.833803313347607,6.963425487894082
7,0.035,-4.917676413371414e-06,6.370426379246498e-06,-0.0007220445045581466,8.128184320207057e-06,0.0,0.0,7.0,15.160131002382741,7.1465579076422845
8,0.04,-5.912351348664545e-06,8.603151854348922e-06,-0.000794782845950368,1.4811697552102452e-05,0.0,0.0,8.0,21.244570071719398,2.8236477809980647
9,0.045,-3.880215756015743e-06,1.1664807168856416e-05,-0.0008542809269143395,2.4851960799032064e-05,0.0,0.0,8.0,21.252616403327856,2.8235502784812043
10,0.05,1.6441217580029276e-06,1.5193005514902017e-05,-0.0009261998586206258,3.914915328031e-05,0.0,0.0,8.0,21.247133669919936,2.82340472612778
11,0.055,1.1923029679968767e-05,1.9216610105368394e-05,-0.0010131398628409225,5.867690900811733e-05,0.0,0.0,9.0,26.853827863435516,1.6165074498013
12,0.06,2.9734854006150716e-05,2.5017749177520017e-05,-0.0010612670718544758,8.447258934936758e-05,0.0,0.0,10.0,30.204066815959038,0.8132605684896814
13,0.065,5.7710751852821234e-05,3.358352081275306e-05,-0.0010391046995509884,0.00011762794496041193,0.0,0.0,10.0,30.196515497098268,0.8125590388422111
14,0.07,9.75838074785262e-05,4.4945669590121757e-05,-0.0009791163612072658,0.0001592801611949952,0.0,0.0,10.0,30.203243248412843,0.813309676785406
15,0.075,0.00015026457064281989,5.93423008456829e-05,-0.0009372647650662498,0.00021060328108587456,0.0,0.0,11.0,26.513222593023965,0.24838850249264927
16,0.08,0.00021800083233273882,7.549353718775731e-05,-0.0009355281281887337,0.0002728000000005121,0.0,0.0,11.0,26.513294308183198,0.2482925555703762
17,0.085,0.00030450499903747464,9.150434706239244e-05,-0.0009335311273406011,0.0003470938260712539,0.0,0.0,11.0,26.517182613925264,0.24851246472428787
18,0.09,0.00041174995135487584,0.00010650259670208072,-0.0009134548415266296,0.0004347216005004041,0.0,0.0,12.0,0.6196278314301841,4.660129502998646
19,0.095,0.0005413952435308905,0.00011951839530728178,-0.0008605162716057055,0.00053692637184061,0.0,0.0,12.0,0.619902650109419,4.660333905010307
20,0.1,0.0006940900625236094,0.00012974611166745903,-0.0008121969148807097,0.0006549506183509668,0.0,0.0,12.0,0.6191498673622646,4.659147070216772
21,0.105,0.0008704562282095869,0.00013587603116452528,-0.0008012398641889072,0.0007900298125292518,0.0,0.0,12.0,0.6200669389190827,4.6574932489878424
22,0.11,0.0010719260924437915,0.0001361422490898745,-0.0007866192577041295,0.0009433863219207043,0.0,0.0,12.0,0.6193046752539567,4.659940022903325
23,0.115,0.0013003072857871408,0.00013025157404708177,-0.0007383344588678945,0.0011162236403037624,0.0,0.0,12.0,0.6190097166213054,4.658355551202339
24,0.12,0.0015565167101539528,0.00011930327239291692,-0.0006677459412003613,0.0013097209433531576,0.0,0.0,12.0,0.6202846929385271,4.65920902076547
25,0.125,0.0018409713855145169,0.00010445030580444175,-0.0005927775030586971,0.0015250279628807955,0.0,0.0,12.0,0.621432238475039,4.658279961722395
26,0.13,0.002154974760299677,8.636154271707288e-05,-0.0005183223640398048,0.0017632601737548254,0.0,0.0,13.0,0.42196241607905255,5.550276768242869
